時間,累積委託買進筆數,累積委託買進數量,累積委託賣出筆數,累積委託賣出數量,累積成交筆數,累積成交數量,累積成交金額
09:00:00,"407,657","4,952,531","412,244","1,888,182",0,0,0
09:00:05,"415,185","5,103,016","417,884","2,053,594","17,943","58,755","6,499"
09:00:10,"424,726","5,764,643","424,027","2,538,016","27,650","88,022","8,806"
09:00:15,"435,011","6,279,767","431,688","2,908,199","37,704","117,170","11,358"
09:00:20,"445,409","6,712,143","439,331","3,118,758","45,164","135,373","13,244"
09:00:25,"454,099","6,895,467","446,088","3,335,296","48,225","143,287","13,853"
09:00:30,"462,317","6,962,765","453,495","3,411,631","51,716","153,017","14,610"
09:00:35,"473,066","7,568,611","463,476","3,836,645","54,916","162,834","15,299"
09:00:40,"484,413","8,836,658","473,349","4,529,840","57,752","170,809","15,847"
09:00:45,"497,174","9,408,008","484,165","4,826,913","61,312","180,944","16,691"
09:00:50,"507,245","9,798,927","494,292","5,031,806","64,478","189,008","17,313"
09:00:55,"519,354","11,136,479","505,878","5,830,068","67,623","198,308","17,968"
09:01:00,"528,790","11,716,391","514,666","6,168,774","70,004","204,804","18,448"
09:01:05,"541,858","12,395,612","526,960","6,309,684","72,967","212,986","19,069"
09:01:10,"555,696","12,912,226","538,303","6,586,887","75,710","221,740","19,652"
09:01:15,"569,392","13,096,874","551,142","6,677,441","79,059","232,393","20,474"
09:01:20,"581,660","13,112,309","563,133","6,644,585","81,561","239,892","20,951"
09:01:25,"593,990","13,140,911","575,593","6,718,803","83,803","246,526","21,476"
09:01:30,"606,552","13,666,664","587,730","7,141,691","86,304","253,626","22,068"
09:01:35,"624,372","14,706,777","604,372","7,908,480","89,238","264,983","23,350"
09:01:40,"644,167","16,147,386","621,794","8,207,884","92,540","275,906","24,190"
09:01:45,"661,350","16,351,425","638,074","8,249,910","96,018","289,972","24,982"
09:01:50,"674,471","16,531,046","650,308","8,374,297","98,766","300,786","25,510"
09:01:55,"687,328","16,574,417","662,741","8,401,688","101,909","311,346","26,240"
09:02:00,"703,666","17,364,752","678,121","8,591,764","105,264","323,162","26,951"
09:02:05,"726,339","17,729,203","700,198","8,598,536","113,013","355,434","29,675"
09:02:10,"744,214","18,982,619","718,654","9,365,512","117,185","371,016","30,367"
09:02:15,"758,973","19,085,736","732,145","9,346,281","120,259","382,782","31,028"
09:02:20,"775,575","19,587,358","747,530","9,755,606","123,222","394,284","31,682"
09:02:25,"790,055","20,026,141","761,939","10,017,453","125,893","401,430","32,356"
09:02:30,"803,797","20,235,168","775,547","10,137,613","128,296","409,522","32,918"
09:02:35,"820,724","20,635,998","792,138","10,501,464","130,572","418,812","33,522"
09:02:40,"835,959","20,963,422","808,492","10,682,261","132,731","427,790","33,973"
09:02:45,"850,767","21,214,181","825,707","10,787,109","135,141","437,029","34,519"
09:02:50,"864,378","21,483,476","840,931","10,980,883","137,404","445,459","34,975"
09:02:55,"878,472","21,353,419","856,185","10,954,512","139,795","453,697","35,579"
09:03:00,"893,344","21,873,327","872,260","11,386,984","142,215","462,669","36,081"
09:03:05,"908,071","22,676,973","888,082","11,999,412","144,388","471,275","36,632"
09:03:10,"929,721","22,349,560","909,254","11,852,616","149,225","494,465","38,418"
09:03:15,"949,100","22,974,975","928,090","12,310,183","152,570","506,504","39,122"
09:03:20,"963,615","23,270,286","944,154","12,534,966","154,558","515,413","39,515"
09:03:25,"979,533","23,643,192","960,377","12,966,826","156,604","522,964","39,928"
09:03:30,"994,597","24,103,302","975,929","13,196,885","158,680","530,868","40,314"
09:03:35,"1,009,405","24,183,199","992,360","13,293,808","160,728","538,802","40,768"
09:03:40,"1,025,730","24,295,462","1,009,287","13,407,902","163,141","548,972","41,203"
09:03:45,"1,041,400","24,713,789","1,026,211","13,661,753","165,051","556,491","41,597"
09:03:50,"1,055,307","24,970,650","1,042,108","13,813,830","166,922","564,099","41,991"
